QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20151015_000820	Immigrant Izna meminta tolong untuk menyalakan Bonfire yang besar agar para immigrant yang ada di tempat jauh lainnya dapat melihat
QUEST_UNUSED_20151015_000821	Bicara dengan Immigrant Ivanayu
QUEST_UNUSED_20151015_000822	Bicaralah dengan Immigrant Ivanayu
QUEST_UNUSED_20151015_000823	Mengumpulkan benda yang layak pakai
QUEST_UNUSED_20151015_000824	Immigrant Ivanayu meminta tolong untuk mengumpulkan benda layak pakai oleh Immigrant dengan mengecek benda-benda yang ditinggalkan penduduk setempat
QUEST_UNUSED_20151015_000825	Bicara dengan Immigrant Dallanas
QUEST_UNUSED_20151015_000826	Bicaralah dengan Immigrant Dallanas
QUEST_UNUSED_20151015_000827	Menghormati Zemyna Goddess Statue
QUEST_UNUSED_20151015_000828	Immigrant Dallanas telah memandu untuk coba mendapatkan berkat dari Goddess dengan menghormati Zemyna Goddess Statue supaya perjalanan diberkati
QUEST_UNUSED_20151015_000829	Membawa Immigrant
QUEST_UNUSED_20151015_000830	Immigrant Dallanas meminta agar membawakan para Immigrant yang tersebar di sekitar
QUEST_UNUSED_20151015_000831	Bicara dengan Priest Irma
QUEST_UNUSED_20151015_000832	Priest Irma di Ashaq Underground Prison 3F sedang menunggu bantuan dari seseorang
QUEST_UNUSED_20151015_000833	Ketika memasuki persembunyian, Demon Lord Marnox melakukan serangan dadakan!
QUEST_UNUSED_20151015_000834	Telah membunuh Demon Lord Marnox. Bicaralah dengan Priest Irma.
QUEST_UNUSED_20151015_000835	Bunuh Demon Lord Marnox
QUEST_UNUSED_20151015_000836	Telah mengumpulkan Stone!
QUEST_UNUSED_20151015_000837	Tidak mendapatkan apapun juga.
QUEST_UNUSED_20151116_000838	Nah. Maukah kau memberikan benda-benda catatan yang kau kumpulkan tadi kepada Bilhelmina?{nl}Kami akan membantu agar dapat masuk menembus para Gargoyle, ketika datang janganlah lupa, datanglah membawa apapun itu.
QUEST_UNUSED_20151116_000839	Ini adalah sample itu rupanya. Dengan ini syarat transaksi telah tercukupi.{nl}Bagus. Aku akan bertanggung jawab dan membuatmu lebih kuat lagi.
QUEST_UNUSED_20151116_000840	Tempat yang menjadi masalah adalah Canyon Area 36_1.{nl} Kau cukup memasang Purification Namote yang kuberikan di tempat yang memiliki Demon Energy Kuat.
QUEST_UNUSED_20151116_000841	Mardas
QUEST_UNUSED_20151116_000842	Ah.. Di tempat seperti ini ada orang..{nl}
QUEST_UNUSED_20151116_000843	Sebaiknya anda juga melarikan diri.{nl}Disini dipenuhi oleh Demon loh.{nl}
QUEST_UNUSED_20151116_000844	Sebelumnya di atas sana tempat Owl Statue berada muncul Demon dan mengontrol para monster loh katanya?
QUEST_UNUSED_20151116_000845	Kenapa disana? Sadarkah anda?{nl} Seluruhnya adalah Demon loh.{nl}
QUEST_UNUSED_20151116_000846	Entah seberapa kuatnya dia, sampai berani melakukan tindakan berbahaya seperti itu..{nl}Aku akan berada disini. Jika ingin pergi, maka pergilah sendiri.{nl}
QUEST_UNUSED_20151116_000847	Aku dikejar oleh Demon, sehingga melarikan diri dari Castile hingga kesini.{nl} Sekarang aku sungguh benci situasi sulit.
QUEST_UNUSED_20151116_000848	Tidak ada demon, hanya ada monster saja katamua?{nl} Walau begitu sungguh untung ya.{nl}
QUEST_UNUSED_20151116_000849	Walaupun begitu, tidak terlihat terluka ya.. Dibandingkan penampilanmu kamu termasuk kuat rupanya.
QUEST_UNUSED_20151116_000850	Jika tuan Savior telah memperbaiki Petrification Frost Detector, tolong kembalilah lagi padaku.{nl} Ada suatu cerita yang ingin kusampaikan loh.
QUEST_UNUSED_20151116_000851	Telah menyerah pada keselamatan satu kali, pada hari Medzio Diena tidak dapat melakukan apapun.{nl} Tetapi walaupun begitu, tidak dapat menyerahkan segalanya.{nl}
QUEST_UNUSED_20151116_000852	Akan mengarahkan satu per satu dengan melakukannya sepenuh hati.{nl} Semoga jalan dari tuan Savior ke depannya selalu diberkati Goddess.
QUEST_UNUSED_20151116_000853	Tiada gunanya bagi tubuh seperti ini yang tidak dapat bergerak dan pergi.{nl} Hanya istirahat yang diinginkan..
QUEST_UNUSED_20151116_000854	[Chelorose's Suffering]
QUEST_UNUSED_20151116_000855	[Chleorose's End]
QUEST_UNUSED_20151116_000856	Matahari yang bercahaya emas dan Bulan yang bercahaya perak.{nl} Apakah angka yang anda miliki.{nl}
QUEST_UNUSED_20151116_000857	Entah kenapa ekspresimu sepertinya tidak mengetahui tentang committee kami.{nl}
QUEST_UNUSED_20151116_000858	Hmm. Pernahkah anda melihat Mage Tower atau Big Cathedral?{nl} Kalau tidak seperti Giant Goddess Statue di Fermidian.{nl}
QUEST_UNUSED_20151116_000859	Pekerjaan konstruksi sebesar itu, apakah sepertinya bisa dilakukan oleh seorang diri?{nl}Tentu saja tidak. Terlepas dari kerajaan, kurasa sulit untuk mencari material yang sebanyak itu?{nl}
QUEST_UNUSED_20151116_000860	Kami adalah Merchant Alliance yang sejak lama mensupply material konstruksi besar dan bersejarah. {nl} Apakah kau sekarang telah mengerti?{nl}
QUEST_UNUSED_20151116_000861	Bisa dikatakan telah mendukung terjadinya sejarah dari belakang kan.{nl} Tujuan dari Merchant Alliance ini adalah semua atas kehendak Goddess.{nl}
QUEST_UNUSED_20151116_000862	Ah, Aku bertugas mengatur member baru dari Merchant Alliance.{nl} Karena ketika hari Medzio Diena telah terjadi kerusakan yang sangat parah, saat ini kami sampai menggerakan seluruh member baru dan melakukan restorasi kerusakan.{nl}
QUEST_UNUSED_20151116_000863	Sungguh masalah besar.{nl}Padahal harus memasang papan pengumuman, tetapi kami kekurangan orang disini.{nl}
QUEST_UNUSED_20151116_000864	Kami Kedora Merchant Alliance sungguh tidak ada rasa ampun kepada para anggota baru.{nl} Terutama tuan Leopoldas, entah kenapa sungguh menakutkan.. Ia selalu berkata untuk melakukan segalanya sendirian.
QUEST_UNUSED_20151116_000865	Kalau begitu maukah anda memasang papan pemberitahuan ini di Kluibe Road?{nl} Edita Team Leader sedang menggali relic loh. {nl}
QUEST_UNUSED_20151116_000866	Aku meminta diam-diam agar tidak ketahuan oleh tuan Leopoldas.{nl} Karena saya harus pergi ke tempat lainnya.
QUEST_UNUSED_20151116_000867	Mohon bantuannya supaya tidak ketahuan oleh tuan Leopoldas.{nl} Tolong ya.
QUEST_UNUSED_20151116_000868	Saya dari Kedora Merchant Alliance sedang membantu para Savior yang baru memulai petualangan.{nl} Jika boleh maukah kau membantu pekerjaan kami?{nl}
QUEST_UNUSED_20151116_000869	Bukan hal yang terlalu sulit.{nl} Cukup dengan memberikan berkat kepada mereka yang membuthukannya pada petualangan.
QUEST_UNUSED_20151116_000870	Terima kasih karena bermaksud untuk membantu.{nl} Kalau begitu kuberitahukan caranya.{nl}
QUEST_UNUSED_20151116_000871	Tolong temukan para Savior yang baru memulai petualangan sekarang di sekitar Orsha atau Klaipeda.{nl} Jika memakai Scrool ini pada mereka, maka kau bisa memberikan berkat yang dibutuhkan mereka pada petualangan.{nl}
QUEST_UNUSED_20151116_000872	Ah, Cobalah mencari tahu dahulu, karena tidak ada gunanya memberikan berkat pada mereka yang telah mendapatkannya.
QUEST_UNUSED_20151116_000873	Hal itu adalah bukan sesuatu yang ditujukan kepada Goddess saja.{nl} Belakangan ini kami pun harus muncul langsung, untuk mengurangi beban Goddess kan.
QUEST_UNUSED_20151116_000874	Kami Kedora Merchant Alliance telah membantu Goddess dari belakang dengan sepenuh hati.{nl} Sekarang kami sedang berpikir untuk muncul secara aktif pada dunia yang berubah seperti ini ya.
QUEST_UNUSED_20151116_000875	Wah ini sungguh masalah besar ya..{nl} Hal yang harus diambil kembali ada setumpuk gunung, entah apa yang sedang dilakukan oleh tim pengambil?
QUEST_UNUSED_20151116_000876	Ah, Kau datang karena paman Leopoldas mengirimmu rupanya?{nl} Akhirnya paman itu mulai mengurangi sifat keras kepalanya ya.{nl}
QUEST_UNUSED_20151116_000877	Dahulu kala sekali, Ketika sedang mengirimkan benda-benda relic ke Fermidian.{nl} tetapi entah mimpi atau bukan. Siapa yang tahu bahwa hari itu adalah hari Medzio Diena kan?{nl}
QUEST_UNUSED_20151116_000878	Sungguh waktu itu terjadi kekacauan sangat besar bukan main.{nl} Pertama-tama bereskanlah mulai dari area yang mendesak, lalu sekarang harus keluar mengambil relic kan.{nl}
QUEST_UNUSED_20151116_000879	Nah, sampai disini saja mengeluhnya, aku meminta tolong padamu untuk mengambil relic di Gayanar Forest Road.{nl} Mungkin saja benda itu terkubur di dalam tanah.{nl}
QUEST_UNUSED_20151116_000880	Ah, lalu.. Di sekitar situ banyak monster yang mengancam para anggota kami.{nl} Jika boleh, tolong sekalian habisi para monster tersebut.
QUEST_UNUSED_20151116_000881	Berhati-hatilah karena banyak monster di sekitar situ.{nl} Jika saja tidak ada monster itu maka pekerjaan tidak akan terlambat seperti ini.
QUEST_UNUSED_20151116_000882	Bukankah paman Leopoldas adalah orang yang meminta tolong pada orang lain.{nl} Intinya kurasa ia tidak tahu, orang yang dimintainya tolong memiliki kemampuan sebaik ini?
QUEST_UNUSED_20151116_000883	Hmm. Akhirnya laporan yang aneh telah datang.{nl} Para monster dari Kluibe Road sedang menggali di satu tempat dengan bersusah payah.{nl}
QUEST_UNUSED_20151116_000884	Mungkin juga hal itu adalah barang milik Merchant Alliance kami, maukah kau mengeceknya?{nl} Tim pengambil membutuhkan waktu untuk tiba di tempat itu.
QUEST_UNUSED_20151116_000885	Mungkinkah Relic itu?{nl}Hmm.. Mungkin karena sudah terlalu lama, sehingga tiada yang tersisa.
QUEST_UNUSED_20151116_000886	Itu, catatan Merchant Alliance rupanya.{nl} tersobek-sobek hancur parah sekali ya.{nl}
QUEST_UNUSED_20151116_000887	Tentu saja para monster yang melakukan hal ini.{nl} Segera berikan itu.
QUEST_UNUSED_20151116_000888	Coba lihat.{nl} Kira-kira isinya..{nl}
QUEST_UNUSED_20151116_000889	Ini adalah Ledger mengenai bahan anak panah.{nl} Ini adalah pesanan dari Lidia Sharpen kepada Fletcher Master pertama dahulu kala.{nl}
QUEST_UNUSED_20151116_000890	Kukira adalah relic yang telah hilang dulu, ini adalah penemuan yang tak terduga.{nl} Katanya panah milik Lidia Sharpen memiliki kekuatan yang spesial.{nl}
QUEST_UNUSED_20151116_000891	Pertama-tama karena sulit untuk memulihkannya dnegan kekuatanku.. {nl}Akan kusimpan dengan baik lalu setelah kembali ke markas utama akan coba kupulihkan.
QUEST_UNUSED_20151116_000892	Sekarang poin yang tersisa adalah seharusnya ada di Juikas Field.. Tapi tidak tahu dimana tepatnya.{nl} Jika boleh maukah kau membantu hal ini juga?
QUEST_UNUSED_20151116_000893	Gunakanlah detektor yang kuberikan untuk memeriksa reaksinya.{nl} Karena hanya bereaksi pada tanda Merchant Alliance saja, maka tidak mungkin pulang dengan tangan kosong.
QUEST_UNUSED_20151116_000894	Caranya boleh juga bukan?{nl} Ketika kehilangan seluruh benda Merchant Alliance,semua sudah ditandai sebelumnya untuk berjaga-jaga.
QUEST_UNUSED_20151116_000895	Ahhh, Kau telah menemukan sesuatu yang paling penting!{nl} Ini adalah Mysterious Ink.{nl}
QUEST_UNUSED_20151116_000896	Tinta rahasia yang digunakan ketika butuh untuk menyembunyikan catatan.{nl} Sesuai kemampuan itu harganya juga sangat mahal.{nl}
QUEST_UNUSED_20151116_000897	Selama itu telah banyak membantu sekali.{nl} Hal tersisa lainnya akan kami lakukan sendiri nanti!{nl}
QUEST_UNUSED_20151116_000898	Leopoldas?{nl}Ahhh, Kakak kami rupanya. Ada urusan apa?{nl}
QUEST_UNUSED_20151116_000899	Ia mengirimkanmu untuk membantuku katamu?{nl} Wah, aku sungguh tidak dapat mempercayai hal ini.{nl}
QUEST_UNUSED_20151116_000900	Yah, intinya bagus lah kalau sudah beres.{nl} Semua monster penganggu disini, semuanya telah kabur ketakutan.{nl}
QUEST_UNUSED_20151116_000901	Yang lain tidak ada masalah, tetapi persoalnnya adalah material pendidikan anggota baru.{nl} Jika tidak ada itu, harus melakukan pekerjaan lagi semua dari awal.{nl}
QUEST_UNUSED_20151116_000902	Kau telah melihat para anggota baru yang dikontrol oleh Leopoldas kan?{nl} Itu adalah material yang diperlukan untuk melatih para anggota baru itu.{nl}
QUEST_UNUSED_20151116_000903	Sebenarnya Merchant Alliance kami walau menerima kehendak Goddess hanya bergerak dari belakang saja dan tidak muncul di permukaan.{nl} Tetapi karena dunia berubah seperti ini, tentu kami juga tidak bisa diam saja.{nl}
QUEST_UNUSED_20151116_000904	Maka dari itu kami memutuskan untuk muncul secara aktif dengan mengumpulkan anggota baru.{nl} Walaupun menjadi target dari demo juga.{nl}
QUEST_UNUSED_20151116_000905	Bagaimanapun, jika mau membantuku, temukanlah kembali material-material itu.{nl} Jika tidak ada itu maka urusan menjadi semakin rumit.
QUEST_UNUSED_20151116_000906	Walau semua material itu telah ditemukan, bukan berarti semua sudah beres.{nl} Karena harus membuat salinannya, persiapkanlah juga itu.
QUEST_UNUSED_20151116_000907	Aku mengerti akan maksud baik itu, tetapi bisa juga kehilangan nyawa.{nl}Yah, walau begitu tidak ada hubungannya karena bukan berarti melakukan pekerjaan yang tidak bisa dilakukan.{nl}
QUEST_UNUSED_20151116_000908	Pertempuran dengan monster adalah hal yang biasa sehari-harinya.
QUEST_UNUSED_20151116_000909	Bagus. Kakak telah mengirimkan asisten yang hebat ya?{nl} Sekarang mari coba membuat salinannya.
QUEST_UNUSED_20151116_000910	Bagaimanapun aku yang akan melakukan penulisannya, sehingga kau tidak perlu khawatir.{nl} Yang dibutuhkan adalah tinta.{nl}
QUEST_UNUSED_20151116_000911	Jika memiliki tinta yang terbuat dari cairan tubuh monster, tulisan bisa bertahan lama dan bagus hasilnya.{nl} Aku akan memberikanmu perangkap, gunakanlah untuk mendapatkan cairan tubuh monster.
QUEST_UNUSED_20151116_000912	Taruh perangkap di jalan tempat monster berlalu lalang.{nl} Ketika ia menginjak perangkap dan pingsan, segera ambil cairan tubuhnya.{nl}
QUEST_UNUSED_20151116_000913	Wah, ini adalah umpan yang dimakan hanya di Drose Empty Lot, tolong letakkan perangkap hanya disana ya.
QUEST_UNUSED_20151116_000914	Wah kau sudah mendapatkan semuanya?{nl}
QUEST_UNUSED_20151116_000915	Yah begitulah. Masih kurang.
QUEST_UNUSED_20151116_000916	Jumlahnya sudah cukup jika sebanyak ini.{nl} Terima kasih ya. {nl}
QUEST_UNUSED_20151116_000917	Jika nanti ada kesempatan bertemu lagi, kami Merchant Alliance akan menerima dengan senang hati.{nl} Sisanya akan kami lakukan sendiri, maka dari itu  segera pergi sekarang.
QUEST_UNUSED_20151116_000918	Halo.{nl} Apakah anda pernah mendengar nama Nestospa?{nl}
QUEST_UNUSED_20151116_000919	Yah, walaupun tidak pernah mencobanya pun, tidak ada masalah ya.{nl} Sejak awal mereka hanya orang-orang yang setia pada kepercayaan diri sendiri dengan tenang.{nl}
QUEST_UNUSED_20151116_000920	Aku juga adalah pengikut dari Nestospa.{nl} Berdoa adalah hal baik, sehingga aku membuat monumen yang mungkin dapat menjadi kekuatan bagi Goddess.{nl}
QUEST_UNUSED_20151116_000921	Filter energi yang jahat, dan kumpulkan hanya energi suci yang ingin dikirimkan kepada Goddess.{nl} Tetapi sepertinya material tidak terkumpulkan juga ya. {nl}
QUEST_UNUSED_20151116_000922	Bisakah kau membantu sedikit?
QUEST_UNUSED_20151116_000923	Bahan utamanya ada beberapa kan.{nl}Dengarkanlah baik baik.{nl}
QUEST_UNUSED_20151116_000924	Harus mencari batu untuk material dan mendapatkan White Powder dari monster. {nl} Sungguh sibuk sekali.
QUEST_UNUSED_20151116_000925	Katanya tidak dapat menghadapi Demon dengan berhadapan langsung, sehingga aku tidak dapat diam saja.{nl} Lakukanlah hal yang bisa dilakukan diri sendiri saja.
QUEST_UNUSED_20151116_000926	Wah, kau melakukannya dengan baik.{nl} Sekarang setelah material telah terkumpul.. Membutuhkan peralatan khusus ya.
QUEST_UNUSED_20151116_000927	Nah. Karena waktu itu kau telah membantuku waktu lalu, bagaimana jika kau juga membantuku untuk membuat satu buah monumen.{nl} Aku akan menyampaikan nama anda dengan kekuatan suci kepada Goddess.{nl}
QUEST_UNUSED_20151116_000928	Kau dapat melakukannya dengan menggunakan tubuh dan hati keseluruhan secara tulus.{nl}Bagaimana, Apakah kau mau mencobanya?
QUEST_UNUSED_20151116_000929	Cobalah membuat dengan baik sekali.{nl} Karena aku yang akan melakukan finishing, maka janganlah terlalu khawatir.
QUEST_UNUSED_20151116_000930	Karena selaras, bentuk yang berat seperti memberikan kesan yang mendalam.{nl}Serahkan finishing kepadaku.{nl}
QUEST_UNUSED_20151116_000931	Entah berapa banyak monumen yang kami telah buat dan selesaikan.. {nl} Tetapi alangkah baiknya jika kedepannya jika kau melihat monumen seperti ini, kau teringat akan orang-orang seperti kami ini.{nl}
QUEST_UNUSED_20151116_000932	Kerajaan masih belum hancur oleh karena Demon.{nl} Jika melakukan sepenuh hati, maka dapat menemukan kedamaian kembali seperti dulu.{nl}
QUEST_UNUSED_20151116_000933	Wah, Mungkin di bagian atas sana, Gieraldo yang ada di sekitar Baderam Hill membutuhkan bantuan.{nl} Jika boleh, alangkah baiknya jika kau membantunya.
QUEST_UNUSED_20151116_000934	Ada urusan apa dengan saya?{nl}
QUEST_UNUSED_20151116_000935	Ah, Paman Antanas menyuruhmu untuk memberikan bantuan?{nl}Sungguh bagus ya. Saya sedang membuat Scripture Goddess disini.{nl}
QUEST_UNUSED_20151116_000936	Pada saat sulit maka hati ini butuh tempat untuk bersandar dan bertahan, bukankah begitu?{nl}
QUEST_UNUSED_20151116_000937	Itu adalah fungsi dari Scripture itu bukan.{nl} Sambil membaca kata-kata Goddess, akan membuat hati tenang.{nl}
QUEST_UNUSED_20151116_000938	Pertama-tama perlu mengumpulkan material untuk membuat Scripture.{nl}Kertas biasa mudah rusak dan lapuk.. Sehingga kali ini aku bermaksud memakai material baru.{nl}
QUEST_UNUSED_20151116_000939	Kulit dari monster yang transparan sepertinya cocok. {nl} Dapat menyerap tinta dari tulisan dengan baik dan bertahan lama.{nl} Bisakah kau mencarikan itu?{nl}{nl}
QUEST_UNUSED_20151116_000940	Karena itu adalah bahan yang umum, maka mudah untuk mencarinya.{nl} Kalau begitu mohon bantuannya ya.
QUEST_UNUSED_20151116_000941	Siapapun membutuhkan tempat bagi hatinya untuk bersandar.{nl} Tetapi Goddess.. {nl}
QUEST_UNUSED_20151116_000942	Begitulah. {nl} Kami bermaksud menjadi pohon besar yang bisa disandari.
QUEST_UNUSED_20151116_000943	Kau membawanya kembali lebih cepat dibandingkan dugaan ya.{nl} Akan kugunakan kulit ini dengan baik. Terima kasih.{nl}
QUEST_UNUSED_20151116_000944	Jika ingin membuat Scripture maka bahan kertasnya memang penting, tetapi pekerjaan menyalin juga sama pentingnya.{nl} Terutama Strap. Apa gunanya jika Scripture yang dibuat dengan sepenuh hati lepas berantakan?{nl}
QUEST_UNUSED_20151116_000945	Strap yang dibuat dari kulit monster bagus loh, masalahnya hanya pendek saja.{nl} Karena aku akan memberimu anvil untuk mengasah kulit, maka maukah kau membuatkan Strap untuk digunakan menjilid?{nl}
QUEST_UNUSED_20151116_000946	Pertama-tama pergilah mencari Monster, lalu dapatkanlah Strap Leather.{nl} Setelah itu gunakan Anvil dan buatlah setumpuk Tough Strap untuk menjilid.{nl}
QUEST_UNUSED_20151116_000947	Mengumpulkan benda yang pendek lalu menyambungnya menjadi Strap panjang untuk menjilid.
QUEST_UNUSED_20151116_000948	Penjilidan telah dipelajari di Orsha dulu.{nl} Tetapi mustahil untuk melakukan pekerjaan itu hanya dengan kekuatanku saja.
QUEST_UNUSED_20151116_000949	Ah! Bagaimana ya? Harus bagaimana..{nl} Jika tidak ada benda itu, bagaimana aku dapat mengetahui Nestos atau anastos, atau dimana dan siapa yang merupakan kumpulan preman.{nl}
QUEST_UNUSED_20151116_000950	Aku bangkrut. Bangkrut.{nl}Karena perjalanan ziarah telah selesai, aku bermaksud pergi ke Fasika Plateau tetapi aku membuat kesalahan.{nl}Ahhh..ingin kupukul semua rasanya..
QUEST_UNUSED_20151116_000951	Ya? Ah, Aku tidak tahu kalau ada disana. Maaf ya.{nl} Sekarang saya. Ah.. Sungguh putus asa sekali.{nl}
